// idx	name	description
1010013	Rattle	Makes a great sound.\Good for pacifying babies or taunting enraged opponents.
1010014	Rattle	Makes a great sound.\Good for pacifying babies or taunting enraged opponents.
1010015	Rattle	Makes a great sound.\Good for pacifying babies or taunting enraged opponents.
1010023	Eraser	The long-range weapon of choice in the battlefield known as ‘a classroom.’\Watch out for friendly fire.
1010024	Eraser	The long-range weapon of choice in the battlefield known as ‘a classroom.’\Watch out for friendly fire.
1010025	Eraser	The long-range weapon of choice in the battlefield known as ‘a classroom.’\Watch out for friendly fire.
1010033	Plastic Bottle	A plastic bottle containing a carbonated drink.\Don't forget to stay hydrated.
1010034	Plastic Bottle	A plastic bottle containing a carbonated drink.\Don't forget to stay hydrated.
1010035	Plastic Bottle	A plastic bottle containing a carbonated drink.\Don't forget to stay hydrated.
1020043	Lollipop	Hard candy on a stick. Don't let the ‘hard’ part fool you, though:\As weapons go, it's not exactly high on durability.
1020044	Lollipop	Hard candy on a stick. Don't let the ‘hard’ part fool you, though:\As weapons go, it's not exactly high on durability.
1020045	Lollipop	Hard candy on a stick. Don't let the ‘hard’ part fool you, though:\As weapons go, it's not exactly high on durability.
1020053	Rolled-Up Newspaper	A Rolled-Up Newspaper.\Many aspiring youths used this to begin their swordsmanship training.
1020054	Rolled-Up Newspaper	A Rolled-Up Newspaper.\Many aspiring youths used this to begin their swordsmanship training.
1020055	Rolled-Up Newspaper	A Rolled-Up Newspaper.\Many aspiring youths used this to begin their swordsmanship training.
1020063	Rubber Hammer	Designed with safety first and foremost.\This hammer turned out to be a best-seller.
1020064	Rubber Hammer	Designed with safety first and foremost.\This hammer turned out to be a best-seller.
1020065	Rubber Hammer	Designed with safety first and foremost.\This hammer turned out to be a best-seller.
1020073	Pot Lid	Everyone’s held one of these before.\Anyone could use this as a weapon, men, women, youths, elderly.
1020074	Pot Lid	Everyone’s held one of these before.\Anyone could use this as a weapon, men, women, youths, elderly.
1020075	Pot Lid	Everyone’s held one of these before.\Anyone could use this as a weapon, men, women, youths, elderly.
1030083	Stand-Up Mic	Don't worry about dropping this mic. The stand makes for a good weapon, too.
1030084	Stand-Up Mic	Don't worry about dropping this mic. The stand makes for a good weapon, too.
1030085	Stand-Up Mic	Don't worry about dropping this mic. The stand makes for a good weapon, too.
1030093	Shuriken	A small shuriken used by Assassins.\There is a proper technique for throwing.
1030094	Shuriken	A small shuriken used by Assassins.\There is a proper technique for throwing.
1030095	Shuriken	A small shuriken used by Assassins.\There is a proper technique for throwing.
1030103	Boxing Gloves	Bright red boxing gloves.\Scoring a hit with these would even knock out the Devil.
1030104	Boxing Gloves	Bright red boxing gloves.\Scoring a hit with these would even knock out the Devil.
1030105	Boxing Gloves	Bright red boxing gloves.\Scoring a hit with these would even knock out the Devil.
